,category,text,grupo
159,0,"#Baton Rouge, #LA - Anderson Trucking Service - CDL A Flatbed Heavy Haul Drivers - Day H... #DRIVING #JOB #ROUGE",0
160,1,"Cleared: Crash in Hillsborough on highway south at Exit Fowler Av, left lane blocked. Last updated at ::41PM.",1
161,0,Thank you The people need this truth. ,0
162,0,We'll have a lot of light moments at the Media Night. Live from the eve of #IAA17: in hrs. [Cons … ,0
163,1,"ORE217, US26, Off Ramp, Delay &lt; 20min, A crash has occurred NB OR- to WB highway, left ln of the ramp is closed.... ",1
164,0,Kendall and Kourtney are the only ones who have not changed,0
165,1,highway N in Hamilton Co Crash Multiple Vehicles at EXIT : highway WEST / CHATTANOOGA / NASHVILLE at : PM / est clear by : PM /,1
166,1,"Accident, highway North exit to highway (Mile Post .), of right lanes blocked. #FultonCounty #511GA",1
167,0, We hate to hear that your having issues with your billing the last four months. Dm us the cell ! ^JaredA,0
168,1,CLEARED: Roadwork on highway southbound between Exit - PA and Exit - highway.,1
169,0,Software shouldn't dictate process. Check out one way Gensler’s software improves efficiency on large-scale projects. ,0
170,0,If you're sad here's a video of irl Pickle Rick ,0
171,0,6pm #Irma update - Tropical Storm Conditions Occurring in the Florida Keys ,0
172,0,Watching Sugar? tweet tweet #QUEENSUGAR,0
173,1,IA SB: Right lane closed from County Road E34 (near Marion) to County Road E16 (Central City). ,1
174,0,Take advantage of Lake Michigan this summer. Here are five ways to get out on the water: ,0
175,1,Incident on #B35Bus Both directions from Church Avenue:Remsen Avenue to Church Avenue:Flatbush Avenue ,1
176,1,"New: Crash in Sumter on highway north at MM and traffic backed up until Florida's Turnpike, left shoulder...",1
177,0,JD Spielman needed just one touch to announce his presence through a megaphone to Husker fans. via ,0
178,1,CLEARED: Roadwork on highway westbound between Exit: highway WEST - SAMPSON ST/YOUNGSTOWN and (End of I - ).,1
179,1,Cleared: Delay: SB on highway at MM162 in Fairfax Co.:42PM,1
180,0," Hey there. Would you kindly DM us with your wireless phone , so we may take a closer look into these charges? ^SeanF",0
181,1,Construction on #ELine Both directions from 21st-Queensbridge to W 4th Street-Washington Square Station ,1
182,1,Updated: Construction on #7Line Manhattan bound from Mets-Willets Point Station to Queensboro Plaza Station ,1
183,0,This #TourTuesday check out our latest story to tag along with an official UN tour guide (handle: united… ,0
184,1,"Cleared: Object on roadway in Holmes on highway east at MM , left lane blocked. Last updated at ::32PM.",1
185,0,"It’s important for your kids to have a productive off season by staying active!

➡️: ",0
186,0,"A Silver Alert has been issued for Bernadine Warren out of Bradenton, Florida. Look for a Beige Toyota Camry...",0
187,0,Van &amp; Bonnie have been entertaining Iowans for years on &amp; it's easy to see why. Great visit with them… ,0
188,0,"New geographic data for private, state &amp; local
nonresidential construction are available  #Census",0
189,0,President Obama has a message for supporters on the work ahead: ,0
190,1,Cleared: Traffic congestion in Broward on Floridas Turnpike south from before Commercial to ramp to Exit Sunrise Blvd. Last updated...,1
191,1,Incident on #GardenStateParkway SB at North of New Gretna Toll Plaza ,1
192,0,Can’t wait to share the stage with all these amazing artists on / 🎤🎶👩🏻‍🚀 #VMA ,0
193,1,Construction on #LLine Both directions from 14th Street-Union Square Station to Rockaway Parkway-Canarsie Station ,1
194,1,Cleared: Incident on #GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,1
195,0," Yeah, answers even from students in the A grade marks range believe it or not!",0
196,0,Ain't nobody gonna fault you for a little kiss Charley #GimmeSugar,0
197,0,Starbucks live streaming return of Pumpkin Spice Latte ,0
198,1,"Cleared: Crash in Monroe on highway south at MM Sevenmile Bridge, all lanes blocked. Last updated at ::21PM.",1
199,1,Collier County: highway SB at Mile Marker on Alligator Alley is closed due to a crash. Seek alternate route. ,1
200,1,"Traf congestion; highway NB: btwn mi N of GA St Line &amp; mi N of Exit8, no lns clsd, From: :36AM.| :41A",1
201,1,highway: road reopened btwn .1mi E of US385 S-Custer and Junction US 16A-Custer.,1
202,1,"Off-ramp blocked in #EastBatonRouge on I EB at Washington St, stopped traffic back to Nicholson #traffic ",1
203,0,"#GOES16 captured this infrared imagery of #Irma moving north of Cuba on /. For the latest info on Irma, go to… ",0
204,1,Cleared: Construction on #2Line BothDir/BothDir from Utica Avenue : Carroll Street to Atlantic Avenue-Barclays Center Station,1
205,0, We wish you two all the best in your next chapter! 💕 Check out our checklist we made just for you: ,0
206,1,I35183 Gardiner Expressway EB GARDINER EXPY EB West of STRACHAN AVE: Right shoulder blocked due to disabled vehicle.,1
207,1,"highway, from highway N to highway, Delay &lt; 20min, Road work has the NB and SB left lanes closed between Broadway and Morr... ",1
208,0,Is it just me or is twitter really slow this weekend? I guess most people are traveling in the US to see the eclipse? 😮,0
209,1,Special Event on #NY17A Both directions at Benjamin Meadow Rd. ,1
210,1,Turnpike Traffic Alert on Pennsylvania Turnpike highway westbound between Exit - highway/To PA and Exit - PA affecting the right,1
211,1,Chestnut Hill West: Service is operating with delays of up to minutes due to switch issues near 30th Street Station.,1
212,0,"For summer , USDA is awarding Summer EBT grants to states &amp; tribal nations that operated demo projects in ",0
213,0,Shout out to all the youth pastors today who are preaching on the day before a holiday! See you on Thanksgiving weekend!,0
214,1,Rdwork on highway West from Exit - highway/Newtown Rd (Bethel) to Exit - CT (Danbury) right lane closed until 6AM...,1
215,1,Construction on #I280 EB from highway to East of Exit 1W - New Rd ,1
216,1,COMPLETE highway MM . NB near SR / mile Left lanes closed hours due to construction work,1
217,0,The electrostatic attraction between us is so strong we must be ionic. #valentineschemistry,0
218,1,Snoqualmie: highway Snoqualmie Pass rock blasting closures scheduled Wednesday and Thursday beginning at p.m. and la ,1
219,0,Congratulations to our youngest UN Messenger of Peace Thank you for your tireless advocacy for education… ,0
220,0, My apologies! Rodrigo. We had outlined the return process in our previous messages. The XPS that you are (),0
221,0,". accelerator program offer knowl,network &amp; access to finance. Apply before July … ",0
222,0,"Thanks to for support of #FirstResponderNetwork!
WATCH: Chief Vaughn talks advanced comms tech for our nation… ",0
223,0,"Thank you, Tom, for your exceptional service to #VirginiaTech and the advancement profession ",0
224,0,Next week concludes this EPIC season that I am sooooo proud of! Thanks for watching with me #WorldOfDance...#LetsDance one more time!!,0
225,1,Accident on highway South at Exit - Country Club Rd (Middletown) right lane blocked...,1
226,0,Prevent #motorcycletheft with these common-sense strategies: ,0
227,0, Surprised more people did not see that Trump Trainwreck coming from a mile away. Pu… ,0
228,0," If you're at #MATPRA2017, come say hi and chat with 👋",0
229,1,"/ WB crash is blocking the NB exit ramp and the right lanes, huge delays coming from Kingshighway ",1
230,0,Drop the skin care routine ,0
231,1,"Crash
SB highway on Exit ( S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: : PM",1
232,0," If you had guessed Berroa, I would've then said ""Oooh, that was a good guess. Forgot about Geronimo.""",0
233,1,"highway, from @ Elligsen Rd to Hwy , Delay &lt; 20min, Road work has the right ln closed in a moving operation betwee... ",1
234,0, My time in hours and minutes but who's counting lol,0
235,1,Clermont County - Lane closure scheduled on State Route ,1
236,1,"Accident cleared in #OxonHill on Beltway Local Lanes Outer Loop on Woodrow Wilson Memorial Brg, jammed back to highway, delay of mins",1
237,1,OKLAHOMA CITY: Non-injury collision highway northbound at NE10th... Roadway clear... BSF,1
238,1,Updated: Incident on #ELine at 42nd Street-Port Authority Bus Terminal Station ,1
239,1,North Vancouver - eastbound Main St on ramp Hwy-/Trans Canada Hwy collision in the right hand lane - CLEAR,1
240,0," Hi Bryan, We are here to help you with this. Please follow us and send us a direct message with the System’s {}",0
241,1,On highway southbound just north of Stewart St there is a disabled vehicle partially blocking the right lane.,1
242,1,Cimarron Turnpike: Mile marker WB. Vehicle on fire. Inside lane is blocked....DJP,1
243,0,"For three years in a row, heat records have been broken across the globe. We have to #ActOnClimate now. ",0
244,0,USDA #APHIS expands U.S. poultry export options to Morocco by adding day old chicks to the export list. Value est. at $-$ M/year.,0
245,1,Accident on Pulaski Skyway southbound area of highway&amp; Truck Route/Raymond Blvd right lane closed - minute delay,1
246,1,COMPLETE highway MM . EB near Allisnv/mile All lanes slow &lt;= mins due to heavy traffic,1
247,1,SD-: ROAD CLOSED and flooding .6mi S of US18-Edgemont.,1
248,0,Great resource for individuals evacuating with livestock. #Irma ,0
249,0," Yeah, I have that in my personal dashboard for both all template txes and just unrelated txes (in pa… ",0
250,0,BASF &amp; extend alliance for years after research projects have resulted from CA Research Allianc… ,0
251,0, Ingredient supplier helps women flourish ,0
252,1,"Correction: EB and WB M- at Holtom Rd
Roadway Closed
Due to a crash 
St Joseph County",1
253,1,Rt. in Highgate is closed due to flooding. #vt ,1
254,0,"Thus the endless attempts to uncover NEW, SHOCKING information. The most shocking info is right in front of us. We just can't stay shocked.",0
255,1,CLEARED: Multi vehicle crash on highway southbound between Mile Post: . and Exit - highway East/Commodore Barry Br.,1
256,1,Incident on #GLine from Church Avenue Station to 7th Avenue Station ,1
257,0,Trump's businesses sought deal on a Trump Tower in Moscow while he ran for president  &lt;-- n… ,0
258,1,Incident on #GrandCentralParkway WB from Northern Boulevard; NY 25A to Exit  - LaGuardia Airport Terminal B and...,1
259,1,"New: Crash in Miami-Dade on SR- west ramp to NW Ave Southbound, off-ramp closed. Last updated at...",1
260,0,Scruggs public boat access reopens on Smith Mountain Lake in Virginia ,0
261,1,"Cleared: Crash in Duval on highway east before Mcduff, left lane blocked. Content provided by Waze. Last updated at ::59AM.",1
262,0,Good meeting with Secretary of Commerce Norway and the US are close trading partners and allies.… ,0
263,1,Multi vehicle crash on highway southbound at Slate Hill Rd/Old Slate Hill Rd. There is a ramp closure.,1
264,1,Turnpike Traffic Alert on Pennsylvania Turnpike highway westbound between Exit - PA and Exit - highway/To PA affecting the shoul,1
265,0, That's what we're here to figure out! Are you referring to U-verse internet? Kindly DM us more details please. ^SarahY,0
266,1,#TRAVEL ADVISORY: Crash Investigation: highway/nb at Cleveland Ave; in the HOV and left lane; delays;… ,1
267,0,The both of y'all are!! Salute to real music and teachers like you ! Not many left. ,0
268,1,COMPLETE highway MM . NB near highway/mile Left lane closed hours due to construction work,1
269,1,Blewett: Clear skies - Compact snow &amp; ice on roadway. ,1
270,1,All lanes reopened at CBBT in Virginia Beach after tractor trailer crash. #hrtraffic,1
271,0,A shot at life. India’s incredible effort to make vaccines affordable and accessible for all its children:… ,0
272,1,INCIDENT ALERT: The two left lanes of southbound I-35W at Meacham Blvd. are closed due to an accident. Motorists should expect delays.,1
273,1,highway: road reopened and flooding .6mi W of SD20.,1
274,1,CLEARED: Crash on highway southbound at FROM / SH.,1
275,1,"Updated: Crash in Alachua on SR- / NW 39th Ave west at NW 92nd Ct, right lane blocked. Last updated at...",1
276,0,"Eva Kor, Jewish survivor &amp; #NewDimensionsinTestimony interviewee, receives Distinguished Alumni Award… ",0
277,1,"Cleared: Crash in Duval on highway south at Exit Butler, right lanes blocked. Content provided by Waze. Last updated at ::44PM.",1
278,0,We gonna change our twitter layout. Any ideas? #FallonLayout #FallonSnap,0
279,1,On highway southbound at Lakeway Dr there is a collision blocking the right lane.,1
280,1,Incident on #I280 WB from Exit 16E - Essex St to Exit 14E - King St ,1
281,0,#Dialogue29 is hot off the press! Read about the places of leisure in the flow of life: ,0
282,0,Peter Green from Healthcare Innovation Village gives hackers some inspiration! #ElsevierHacks ,0
283,1,"ACCIDENT AT HWY /BROADWAY, APPROX. MP WITH LANE BLOCKAGE on - HWY /BROADWAY NEAR COMMERCIAL LANE at mi ... ",1
284,0,How to Stop Those Dreaded No Shows and Cancellations in Private Practice [Video] ,0
285,1,There have been numerous reports of trees in the roadway. Use caution if traveling and if you can stay off the road… ,1
286,0,Storm surge flooding of - ft is now expected along the SW Florida coast. This is a dire and life-threatening situation.,0
287,1,"New: Planned construction in Miami-Dade on SR- west ramp from NW Ave, off-ramp right lane blocked. Last...",1
288,0,We're all rooting for #Venezuela in Williamsport #LLWS ,0
289,1,"Be ready Wed AM commute #VT #BTV #NEK for slippery travel, as snow develops overnight and continues to mid day. Slow down &amp; drive carefully.",1
290,0,"Gay Pride Parade, New York City, . ",0
291,1,A crash on highway has the left lane closed at mile marker . just after the highway Exit outside of Stoughton. Delays Growing.,1
292,1,"**CAUTION** #Crash in Palm Beach on Turnpike north before Lake Worth Rd and traffic backed up until beyond Boynton Beach, left lane blocked",1
293,1,"*Traffic Advisory*
Traffic on I81 SB continues to experience delays due to a motor vehicle crash in Rockingham... ",1
294,1,Disabled Vehicle: SB on highway at MM152 in Prince William Co. No lanes closed. Potential Delays.:40AM,1
295,0,"In Our View: Downtown Hope, Caution ",0
296,0,Why the one place you never planned to visit should be top of your list #chernobylexclusionzone #travel… ,0
297,1,State Route N in Hamilton Co Vehicle Disabled at SR- LEE HWY. at : PM / est clear by : PM /,1
298,1,Route (Street Road) Lane Restrictions Scheduled Next Week for Repair &amp; Resurfacing Operations in Chester County ,1
299,1,Incident on #GrandCentralParkway WB from Exit  - highway; West B-Q Expressway to 31st Street; Hoyt Avenue ,1
300,0,Study : More germs on restaurant high chairs than toilet seats. ,0
301,1,Cleared: Closure on #I787 NB at Exit northbound; Dunn Bridge; Empire Plaza; highway; highway,1
302,0,". &amp; want to hear your ideas &amp; suggestions on legislative, regulatory, &amp; policy changes -… ",0
303,0,Getting What You Pay For At the Grocery Store #wmw2017 #ThankAnInspector⚖️,0
304,1,The left lane remains blocked on highway North before Almonaster Boulevard due to a disabled vehicle. The congestion is minimal.,1
305,1," West prior to /Lawrence, right lane crash, traffic is jammed from before , use caution",1
306,1,"Accident, highway West before Lewiston Road (Mile Post ), of lanes blocked. #ColumbiaCounty #511GA",1
